Country/Region,8/26/20
India,3224547
Indonesia,157859
Pakistan,293711
Bangladesh,299628
Japan,63888
Philippines,197164
Vietnam,1029
Turkey,261194
Iran,363363
Thailand,3402
Iraq,211947
Afghanistan,38070
Saudi Arabia,309768
Uzbekistan,39641
Malaysia,9285
Yemen,1924
Nepal,33533
Sri Lanka,2971
Kazakhstan,105075
Syria,2365
Cambodia,273
Jordan,1716
Azerbaijan,35559
United Arab Emirates,261194
Tajikistan,8379
Israel,106460
Laos,22
Lebanon,13687
Kyrgyzstan,43245
Singapore,56435
Oman,84652
Kuwait,81573
Georgia,1429
Mongolia,300
Armenia,42936
Qatar,117498
Bahrain,50076
Timor-Leste,26
Cyprus,1474
Bhutan,173
Maldives,7047
Brunei,144
